frame.number,frame.time_relative,wlan.ra,wlan.ta
2860,126.502574000,00:00:00:00:00:08,00:00:00:00:00:03
2861,126.505544000,00:00:00:00:00:08,00:00:00:00:00:03
2862,126.511337000,00:00:00:00:00:08,00:00:00:00:00:03
2880,127.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2881,127.504470000,00:00:00:00:00:08,00:00:00:00:00:03
2900,128.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2901,128.503192000,00:00:00:00:00:08,00:00:00:00:00:03
2902,128.505109000,00:00:00:00:00:08,00:00:00:00:00:03
2921,129.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2922,129.503172000,00:00:00:00:00:08,00:00:00:00:00:03
2940,130.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2941,130.501336000,00:00:00:00:00:08,00:00:00:00:00:03
2942,130.508259000,00:00:00:00:00:08,00:00:00:00:00:03
2961,131.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2962,131.503572000,00:00:00:00:00:08,00:00:00:00:00:03
2963,131.506704000,00:00:00:00:00:08,00:00:00:00:00:03
2983,132.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2984,132.503372000,00:00:00:00:00:08,00:00:00:00:00:03
3002,133.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3003,133.504450000,00:00:00:00:00:08,00:00:00:00:00:03
3021,134.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3022,134.501216000,00:00:00:00:00:08,00:00:00:00:00:03
3040,135.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3041,135.500696000,00:00:00:00:00:08,00:00:00:00:00:03
3061,136.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3062,136.500816000,00:00:00:00:00:08,00:00:00:00:00:03
3081,137.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3082,137.504350000,00:00:00:00:00:08,00:00:00:00:00:03
3100,138.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3101,138.500896000,00:00:00:00:00:08,00:00:00:00:00:03
3102,138.505043000,00:00:00:00:00:08,00:00:00:00:00:03
3103,138.510120000,00:00:00:00:00:08,00:00:00:00:00:03
3104,138.517053000,00:00:00:00:00:08,00:00:00:00:00:03
3122,139.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3123,139.500756000,00:00:00:00:00:08,00:00:00:00:00:03
3124,139.502666000,00:00:00:00:00:08,00:00:00:00:00:03
3142,140.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3143,140.501156000,00:00:00:00:00:08,00:00:00:00:00:03
3144,140.504403000,00:00:00:00:00:08,00:00:00:00:00:03
3164,141.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3165,141.503592000,00:00:00:00:00:08,00:00:00:00:00:03
3185,142.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3186,142.504889000,00:00:00:00:00:08,00:00:00:00:00:03
3204,143.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3205,143.502334000,00:00:00:00:00:08,00:00:00:00:00:03
3206,143.507899000,00:00:00:00:00:08,00:00:00:00:00:03
3224,144.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3225,144.501734000,00:00:00:00:00:08,00:00:00:00:00:03
3245,145.499959000,00:00:00:00:00:08,00:00:00:00:00:03
3246,145.502015000,00:00:00:00:00:08,00:00:00:00:00:03
3264,146.499959000,00:00:00:00:00:08,00:00:00:00:00:03
